cliente_id,rubro_cliente,subrubro_1,subrubro_2,sede_cliente
CLI_227680,Panadería,Artesanal,Local + Distribución,Cusco
CLI_265774,Restaurante,Pollería,Delivery,Cusco
CLI_631930,Panadería,Artesanal,Local Propio,Lima
CLI_204190,Minimarket,Gasolinera,Tienda + Delivery,Arequipa
CLI_570220,Hotel,Hostal,Solo Alojamiento,Piura
CLI_481367,Hotel,Resort,Solo Alojamiento,Lima
CLI_713965,Panadería,Industrial,Local + Distribución,Arequipa
CLI_884095,Hotel,Boutique,Desayuno Incluido,Arequipa
CLI_861175,Bodega,Licorería,Autoservicio,Cusco
CLI_295001,Catering,Industrial,Off-Site,Piura
CLI_039598,Supermercado,Mayorista,Solo Online,Lima
CLI_732107,Cafetería,Tradicional,Co-Working,Arequipa
CLI_982661,Farmacia,Cadena,Drive-Thru,Piura
CLI_954139,Fast Food,Árabe,Solo Delivery,Arequipa
CLI_904077,Bodega,Mayorista,Mostrador + Delivery,Piura
CLI_284257,Panadería,Integral,Local Propio,Piura
CLI_451235,Cafetería,Saludable,Co-Working,Piura
CLI_700035,Panadería,Artesanal,Local Propio,Arequipa
CLI_785244,Cafetería,Moderna,Para Llevar,Lima
CLI_447690,Restaurante,Japonés,Para Llevar,Cusco
CLI_151148,Cafetería,Tradicional,Para Llevar,Lima
CLI_098998,Minimarket,Universitario,Tienda Física,Piura
CLI_891039,Minimarket,Express,Tienda Física,Cusco
CLI_712955,Bodega,Mixta,Mostrador + Delivery,Arequipa
CLI_581901,Restaurante,Buffet,Delivery + Salón,Lima
CLI_182564,Cafetería,Moderna,Salón + Delivery,Arequipa
CLI_723623,Bar,Sports Bar,Presencial + Eventos,Lima
CLI_902298,Restaurante,Buffet,Dark Kitchen,Piura
CLI_876960,Minimarket,24 Horas,24 Horas,Arequipa
CLI_287122,Bar,Karaoke,Presencial,Arequipa
CLI_498042,Bodega,Abarrotes,Mostrador + Delivery,Lima
CLI_914751,Bodega,Mayorista,Mostrador + Delivery,Piura
CLI_511387,Fast Food,Árabe,Delivery,Lima
CLI_217846,Catering,Matrimonios,Mixto,Piura
CLI_988073,Bar,Sports Bar,Presencial,Cusco
CLI_173041,Supermercado,Formato Mediano,Online + Tienda,Cusco
CLI_013892,Bodega,Mayorista,Mostrador,Cusco
CLI_919192,Cafetería,Especialidad,Co-Working,Lima
CLI_749181,Panadería,Pastelería,Local + Distribución,Lima
CLI_306338,Cafetería,Tradicional,Para Llevar,Arequipa
CLI_365163,Fast Food,Wraps,Salón + Delivery,Piura
CLI_502456,Panadería,Pastelería,Distribución,Cusco
CLI_497105,Minimarket,24 Horas,Tienda + Delivery,Arequipa
CLI_210248,Restaurante,Carnes,Para Llevar,Lima
CLI_733168,Minimarket,Universitario,Tienda Física,Lima
CLI_864591,Supermercado,Formato Mediano,Tienda Física,Piura
CLI_598675,Supermercado,Orgánico,Solo Online,Cusco
CLI_226756,Catering,Industrial,Off-Site,Arequipa
CLI_235126,Minimarket,Gasolinera,Tienda Física,Piura
CLI_542495,Restaurante,Japonés,Para Llevar,Lima
CLI_492388,Hotel,Hostal,Todo Incluido,Piura
CLI_436778,Fast Food,Pizza,Salón + Delivery,Piura
CLI_560481,Ferretería,General,Autoservicio,Arequipa
CLI_373782,Minimarket,24 Horas,24 Horas,Lima
CLI_936767,Minimarket,Universitario,Tienda Física,Piura
CLI_116526,Restaurante,Chifa,Dark Kitchen,Arequipa
CLI_713595,Restaurante,Buffet,Salón,Cusco
CLI_582636,Minimarket,24 Horas,Tienda Física,Lima
CLI_343538,Supermercado,Orgánico,Tienda Física,Cusco
CLI_747928,Restaurante,Italiano,Delivery + Salón,Cusco
CLI_329247,Minimarket,Universitario,24 Horas,Cusco
CLI_127387,Bodega,Licorería,Autoservicio,Arequipa
CLI_074766,Fast Food,Sándwiches,Drive-Thru,Cusco
CLI_242635,Minimarket,Barrio,Tienda Física,Arequipa
CLI_343273,Minimarket,Universitario,24 Horas,Piura
CLI_795211,Restaurante,Vegetariano,Para Llevar,Piura
CLI_710029,Minimarket,Gasolinera,Tienda Física,Cusco
CLI_243928,Restaurante,Chifa,Dark Kitchen,Lima
CLI_060153,Hotel,Resort,Todo Incluido,Piura
CLI_567392,Restaurante,Japonés,Dark Kitchen,Cusco
CLI_679226,Bodega,Mixta,Mostrador,Piura
CLI_146402,Bodega,Mixta,Mostrador,Arequipa
CLI_697669,Cafetería,Saludable,Salón,Cusco
CLI_980137,Restaurante,Carnes,Delivery,Arequipa
CLI_342545,Minimarket,Express,Tienda + Delivery,Cusco
CLI_026850,Cafetería,Especialidad,Co-Working,Arequipa
CLI_469156,Fast Food,Árabe,Drive-Thru,Cusco
CLI_431144,Farmacia,Homeopática,Autoservicio,Cusco
CLI_433945,Hotel,Hostal,Restaurante Propio,Lima
CLI_413767,Panadería,Integral,Distribución,Piura
CLI_461962,Bodega,Mayorista,Autoservicio,Piura
CLI_428196,Bodega,Barrio,Mostrador + Delivery,Piura
CLI_528925,Fast Food,Wraps,Delivery,Cusco
CLI_710783,Restaurante,Buffet,Dark Kitchen,Arequipa
CLI_856844,Hotel,Turístico,Solo Alojamiento,Arequipa
CLI_431652,Fast Food,Sándwiches,Salón + Delivery,Cusco
