venta_id,producto_id,cantidad_producto,subtotal
VTA_78471768,PROD_044108,2,21.8
VTA_78471768,PROD_928162,19,1277.56
VTA_78471768,PROD_171005,13,45.37
VTA_78471768,PROD_232047,4,162.4
VTA_78471768,PROD_559077,12,883.44
VTA_78471768,PROD_184216,2,35.36
VTA_48033048,PROD_303113,15,2059.8
VTA_65846615,PROD_193746,19,1775.74
VTA_65846615,PROD_178023,18,251.46
VTA_65846615,PROD_104021,17,1474.41
VTA_65846615,PROD_281125,17,1779.9
VTA_65846615,PROD_326855,5,574.05
VTA_65846615,PROD_594718,9,400.86
VTA_65846615,PROD_437364,7,549.64
VTA_65846615,PROD_481409,15,688.65
VTA_34536942,PROD_438493,19,880.46
VTA_34536942,PROD_446017,12,787.8
VTA_34536942,PROD_998503,1,65.52
VTA_34536942,PROD_785992,4,134.64
VTA_81793870,PROD_511773,8,408.88
VTA_81793870,PROD_128711,15,1618.8
VTA_81793870,PROD_123505,3,222.03
VTA_81793870,PROD_200564,14,1995.84
VTA_81793870,PROD_272878,11,438.46
VTA_81793870,PROD_438600,2,264.08
VTA_81793870,PROD_329768,19,2542.39
VTA_81793870,PROD_749994,9,132.75
VTA_61821942,PROD_270037,8,271.28
VTA_61821942,PROD_063328,13,1880.58
VTA_61821942,PROD_427895,19,1640.08
VTA_61821942,PROD_002372,1,70.0
VTA_09537227,PROD_773658,16,2095.68
VTA_09537227,PROD_451481,18,1807.02
VTA_50860917,PROD_063514,14,1147.16
VTA_90490928,PROD_897610,18,2307.6
VTA_90490928,PROD_694877,5,294.0
VTA_90490928,PROD_592722,9,802.98
VTA_90490928,PROD_396904,1,21.71
VTA_90490928,PROD_697692,9,182.88
VTA_90490928,PROD_338721,20,662.0
VTA_90490928,PROD_683023,16,2355.52
VTA_46934202,PROD_700914,15,2132.25
VTA_46934202,PROD_593510,14,960.82
VTA_46934202,PROD_029575,9,1296.36
VTA_46934202,PROD_459194,4,60.44
VTA_46934202,PROD_163266,20,2620.6
VTA_46934202,PROD_226043,9,1251.36
VTA_58891350,PROD_855543,6,107.94
VTA_58891350,PROD_484333,14,98.0
VTA_58891350,PROD_454006,17,2323.39
VTA_58891350,PROD_722036,6,471.36
VTA_58891350,PROD_335140,8,152.56
