venta_id,cliente_id,fecha_venta,monto_total
VTA_56856738,CLI_339655,2025-08-31,246.55
VTA_37049982,CLI_623991,2025-11-30,3930.95
VTA_02183629,CLI_186019,2025-08-07,3195.25
VTA_21841454,CLI_710029,2025-03-08,4727.35
VTA_99003554,CLI_122112,2025-07-27,1219.68
VTA_21153591,CLI_862708,2025-12-30,38.3
VTA_85676298,CLI_961652,2025-08-24,1108.5
VTA_65197527,CLI_884095,2025-06-03,1069.64
VTA_72564421,CLI_353616,2025-04-23,1296.14
VTA_94541450,CLI_121705,2025-07-09,751.35
VTA_78977652,CLI_284896,2025-06-17,669.16
VTA_05300701,CLI_227680,2025-05-16,3321.0
VTA_26522847,CLI_202749,2025-05-13,1649.88
VTA_55178322,CLI_612877,2025-01-03,2208.77
VTA_34016895,CLI_399350,2025-06-07,521.19
VTA_88727626,CLI_217846,2025-04-08,6565.31
VTA_79849603,CLI_428196,2025-07-17,1791.97
VTA_58379530,CLI_016891,2025-11-23,350.73
VTA_42343171,CLI_775098,2025-12-24,3401.96
VTA_45166390,CLI_646936,2025-05-09,4852.3
VTA_57184592,CLI_364513,2025-06-30,2403.3
VTA_20224101,CLI_519843,2025-05-22,1258.8
VTA_30669304,CLI_512141,2026-02-16,536.0
VTA_61956540,CLI_949811,2025-07-26,686.0
VTA_28693989,CLI_471347,2025-10-20,8107.64
VTA_25291716,CLI_303690,2025-08-10,864.05
VTA_63050015,CLI_340301,2025-12-28,765.77
VTA_40968173,CLI_519843,2025-01-10,1579.0
VTA_48310274,CLI_049095,2025-02-22,734.45
VTA_86631293,CLI_704058,2025-05-25,512.81
VTA_41260685,CLI_729619,2025-10-26,1299.86
VTA_83781964,CLI_401050,2025-09-30,4968.48
VTA_74612015,CLI_049095,2025-06-04,1223.62
VTA_65822769,CLI_549690,2025-09-20,1762.95
VTA_75518908,CLI_181039,2025-07-30,1821.67
VTA_34663489,CLI_345317,2025-03-03,7272.82
VTA_87046505,CLI_079984,2025-11-12,105.0
VTA_74166766,CLI_117096,2025-12-27,760.48
VTA_62133975,CLI_813750,2026-01-30,2252.09
VTA_87295025,CLI_418982,2025-05-09,2612.75
VTA_06488776,CLI_075329,2025-02-08,7411.21
VTA_75679558,CLI_422076,2025-04-06,214.4
VTA_18065040,CLI_581901,2025-04-02,2598.05
VTA_77298665,CLI_644677,2025-08-10,5250.87
VTA_13948404,CLI_713965,2026-01-19,1654.56
VTA_65063216,CLI_340301,2025-10-04,1651.65
VTA_79678390,CLI_049457,2026-01-25,1151.01
VTA_27701765,CLI_870699,2025-01-11,3388.04
VTA_29254356,CLI_833709,2025-08-05,787.73
VTA_61575076,CLI_867661,2025-12-14,429.89
VTA_73492815,CLI_607956,2025-10-11,1267.73
VTA_06363823,CLI_090303,2026-01-30,2871.93
VTA_80651627,CLI_892965,2025-08-28,157.4
VTA_58004089,CLI_441744,2025-03-06,911.46
VTA_82063521,CLI_330963,2025-05-12,1726.58
VTA_60315535,CLI_467413,2025-09-23,2284.77
VTA_85361308,CLI_055268,2025-02-12,558.03
VTA_41686381,CLI_496924,2025-07-07,2164.69
VTA_81524256,CLI_534280,2025-02-20,25.92
VTA_06507679,CLI_448810,2025-12-17,4352.04
VTA_53554500,CLI_971550,2025-07-11,3203.5
VTA_28703617,CLI_022332,2025-12-17,1670.55
VTA_84412423,CLI_116526,2026-01-23,632.62
VTA_81610758,CLI_075329,2025-05-14,6396.33
VTA_85100326,CLI_181039,2025-12-14,349.35
VTA_63744968,CLI_381308,2025-03-06,2209.58
VTA_73649102,CLI_650875,2026-02-10,2203.05
VTA_50206610,CLI_401179,2025-07-19,452.41
VTA_61436409,CLI_503452,2025-11-13,359.27
VTA_39177937,CLI_572002,2025-04-13,1022.56
VTA_46917037,CLI_202624,2025-07-01,2062.53
VTA_30782679,CLI_703193,2025-07-28,1217.4
VTA_11037382,CLI_197133,2025-07-06,2563.72
VTA_48125035,CLI_699171,2025-05-05,1502.47
VTA_90671606,CLI_039598,2025-06-02,4347.87
VTA_65888487,CLI_538687,2025-06-29,477.39
VTA_27123125,CLI_484034,2025-05-28,95.56
VTA_00156562,CLI_947426,2025-06-12,4641.83
VTA_50453820,CLI_202624,2026-01-26,566.39
VTA_45286578,CLI_657553,2025-08-20,1573.48
VTA_17059113,CLI_876960,2025-06-30,3423.44
VTA_98588825,CLI_126655,2025-09-29,1668.55
VTA_04856383,CLI_075329,2025-05-27,4339.55
VTA_77073713,CLI_980137,2025-03-27,1319.01
VTA_62286989,CLI_152281,2025-07-29,1054.62
VTA_24444662,CLI_826513,2025-08-07,496.32
VTA_17476020,CLI_116526,2025-10-05,247.0
VTA_91052740,CLI_642081,2025-02-23,116.36
VTA_30075504,CLI_312630,2025-07-14,1047.76
